Sudan,Wren,14489,16001
Uganda,Snipe,6476,16002
New_Mexic,Cobra,50456,16003
Michigan,Fox,41164,16004
Australia,Swan,82014,16005
Grenada,Baboon,69877,16006
Kiribati,Isurus,72970,16007
Tonga,Giraffe,16747,16008
Louisiana,Poroderma,25976,16009
New_Jerse,Ram,77573,16010
Uruguay,Gorilla,74954,16011
Saudi_Ara,Sphyrna_l,33952,16012
Tanzania,Dogfish,98278,16013
TRINIDAD_,Moose,51862,16014
Maryland,Lamna,4954,16015
Madagasca,Sheep,81183,16016
Minnesota,Flamingo,66009,16017
France,Manatee,54989,16018
Rhode_Isl,Prionace,84057,16019
Louisiana,Alligator,92962,16020
Madagasca,Apristuru,94161,16021
Alabama,Quail,60613,16022
Texas,Hamster,52515,16023
Nepal,Carcharhi,55323,16024
Cyprus,Triaenodo,40306,16025
Samoa,Mallard,40641,16026
Washingto,Sawshark,96404,16027
Barbados,Magpie,64907,16028
EL_SALVAD,Black_pan,47450,16029
Minnesota,Scoliodon,7257,16030
Ireland,Donkey,96840,16031
Vatican_C,Donkey,97394,16032
DOMINICAN,Prionace,75887,16033
Ecuador,Carcharhi,5000,16034
Dominica,Louse,92180,16035
Uganda,Human,41774,16036
Turkey,Pony,53371,16037
Ethiopia,Ostrich,23470,16038
Washingto,Negaprion,6563,16039
Georgia,Gazelle,58870,16040
Namibia,Pelican,81395,16041
Singapore,Carcharhi,99559,16042
Netherlan,Hemitriak,9243,16043
Monaco,Dolphin,36831,16044
Uganda,Dolphin,25699,16045
Tanzania,Jackal,69656,16046
Maryland,Carcharhi,5744,16047
Hawaii,Magpie,14817,16048
Colombia,Apristuru,2725,16049
Florida,Quail,41358,16050
Alaska,Swallow,88669,16051
Hawaii,Reindeer,62711,16052
Ethiopia,Jaguar,89524,16053
France,Human,39508,16054
EQUATORIA,Pinniped,38394,16055
Colombia,Hemiscyll,64384,16056
Louisiana,Fox,31207,16057
Lithuania,Isogompho,25865,16058
NEW_ZEALA,Skunk,76333,16059
Sudan,Cormorant,56976,16060
Malta,Isurus,66614,16061
Tonga,Coccinell,13358,16062
Mississip,Orectolob,17584,16063
Turkey,Bullhead_,36296,16064
Nepal,Partridge,10121,16065
Pennsylva,Hawk,3156,16066
Dominica,Reindeer,80183,16067
Louisiana,Swallow,32461,16068
Zambia,Sphyrna_l,4234,16069
Nigeria,Prionace_,69613,16070
EQUATORIA,Triaenodo,34012,16071
Ireland,Goose,12790,16072
Oregon,Wombat,97821,16073
Tanzania,Ram,81199,16074
Samoa,Human,5005,16075
Nauru,Crow,88146,16076
Maryland,Swallow,945,16077
EQUATORIA,Apristuru,24072,16078
DOMINICAN,Baboon,23091,16079
Texas,Parmaturu,92220,16080
Mississip,Magpie,29729,16081
Tunisia,Pinniped,32939,16082
Netherlan,Black_pan,61242,16083
EQUATORIA,Lion,80816,16084
Japan,Mallard,3705,16085
Kiribati,Quail,66119,16086
Virginia,Echinorhi,42059,16087
Wisconsin,Isurus,30732,16088
Netherlan,Hornet,73160,16089
Madagasca,Black_pan,83858,16090
Guatemala,Crow,2873,16091
Italy,Sheep,4482,16092
Ireland,Polecat,74114,16093
Turkey,Echinorhi,89095,16094
Luxembour,Mouse,37222,16095
Georgia,Human,61206,16096
Cyprus,Skunk,44864,16097
New_Jerse,Pony,86413,16098
Taiwan,Pristioph,8515,16099
Uganda,Human,41691,16100
Hawaii,Quail,22438,16101
Malaysia,Cirrhoscy,12411,16102
Romania,Cormorant,76980,16103
Slovenia,Moose,47269,16104
Tennessee,Chamois,52887,16105
Sudan,Isogompho,87169,16106
Californi,Angel_sha,95713,16107
Maine,Alligator,88537,16108
Arizona,Human,71902,16109
North_Car,Pelican,49827,16110
Grenada,Sphyrna_l,14280,16111
DOMINICAN,Sheep,47085,16112
Turkey,Pristioph,81115,16113
Lithuania,Isogompho,42658,16114
Barbados,Negaprion,52116,16115
CZECH_REP,Gazelle,88516,16116
Nigeria,Cirrhoscy,20522,16117
Cyprus,Mouse,75258,16118
Virginia,Isurus,17666,16119
Turkey,Raven,97463,16120
Tonga,Ostrich,40880,16121
Serbia,Reindeer,60996,16122
MARSHALL_,Jackal,64233,16123
EQUATORIA,Mule,35071,16124
Greece,Nightinga,65424,16125
New_Jerse,Chiloscyl,72401,16126
WESTERN_S,Rhizoprio,99506,16127
Tennessee,Camel,37106,16128
Ireland,Goldfinch,70859,16129
Wisconsin,Beaver,84664,16130
Slovakia,Flamingo,39826,16131
Sudan,Magpie,86666,16132
Japan,Echinorhi,52431,16133
Zambia,Isogompho,21366,16134
Zimbabwe,Dolphin,25531,16135
New_Jerse,Lion,96864,16136
Sudan,Cirrhoscy,75968,16137
Thailand,Mule,31300,16138
Serbia,Coyote,14017,16139
EL_SALVAD,Moose,1077,16140
NEW_ZEALA,Goldfinch,34033,16141
Singapore,Otter,45728,16142
France,Fox,65384,16143
Nepal,Coyote,48712,16144
Greece,Skunk,76637,16145
Netherlan,Hornet,40723,16146
Texas,Polecat,91019,16147
Ethiopia,Pelican,85201,16148
Florida,Fox,95863,16149
Florida,Crow,17221,16150
Missouri,Parascyll,76401,16151
Florida,Scoliodon,84860,16152
New_Mexic,Gorilla,12019,16153
Maryland,Hemitriak,8668,16154
Uzbekista,Lion,17349,16155
Alabama,Whale_Sha,49059,16156
Mississip,Pristioph,95717,16157
Nauru,Bullhead_,41185,16158
Maine,Crow,52939,16159
Ecuador,Manatee,22356,16160
South_Car,Sawshark,1899,16161
Virginia,Hemiscyll,56931,16162
Malaysia,Sheep,6893,16163
Dominica,Chiloscyl,93545,16164
Grenada,Guanaco,26816,16165
Georgia,Apristuru,21407,16166
Colombia,Raven,90071,16167
South_Car,Giant_Pan,66035,16168
Malta,Polecat,47823,16169
TRINIDAD_,Sheep,27462,16170
Sudan,Polecat,78807,16171
Slovakia,Peafowl,15885,16172
EL_SALVAD,Badger,48669,16173
Latvia,Chiloscyl,70779,16174
EL_SALVAD,Bison,79837,16175
Sudan,Pristioph,50933,16176
Uganda,American_,58286,16177
Romania,Chiloscyl,66917,16178
Nigeria,Pinniped,89769,16179
Louisiana,Fox,64299,16180
Uzbekista,Isurus,93226,16181
Ecuador,Dogfish,97017,16182
COSTA_RIC,Angel_sha,47004,16183
Ireland,Prionace,18054,16184
Finland,Guanaco,11748,16185
Finland,Lamna,84661,16186
Croatia,Giant_Pan,63600,16187
Oregon,Pony,81637,16188
Alaska,Bullhead_,97128,16189
Jordan,Bullhead_,50347,16190
Dominica,Fox,48277,16191
Georgia,Anatidae,55086,16192
Denmark,Lamniform,41984,16193
TRINIDAD_,Human,65474,16194
Ecuador,Badger,64464,16195
Californi,Lamniform,36401,16196
Ukraine,Hornet,14405,16197
Denmark,Mouse,85816,16198
Malaysia,Pony,61993,16199
Saudi_Ara,Ram,3149,16200
Sudan,Reindeer,63381,16201
Sudan,Flamingo,67591,16202
Oregon,Louse,63701,16203
Georgia,Carcharhi,61003,16204
Latvia,Scoliodon,79900,16205
Greece,Magpie,48883,16206
Tanzania,Goldfinch,29308,16207
MARSHALL_,Manatee,56846,16208
Tanzania,Quail,52222,16209
Dominica,Isogompho,34659,16210
Spain,Triaenodo,81180,16211
Massachus,Partridge,80839,16212
Californi,Raven,6100,16213
Spain,Sheep,38008,16214
Japan,Heron,30407,16215
Nigeria,Carcharhi,74066,16216
COSTA_RIC,Lamna,40004,16217
Tonga,Pelican,32707,16218
Singapore,Raven,50535,16219
Latvia,Beaver,91595,16220
Zambia,Human,31957,16221
Michigan,Rhizoprio,5314,16222
France,Cheetah,93107,16223
Saudi_Ara,Cheetah,95228,16224
Barbados,Sphyrna_l,72429,16225
Dominica,Cormorant,62171,16226
Samoa,Mouse,18830,16227
WESTERN_S,Triaenodo,75658,16228
Slovakia,Wren,40353,16229
Uganda,Bison,59317,16230
Rhode_Isl,Lamniform,11558,16231
Nigeria,Swan,53033,16232
Turkey,Squalifor,9490,16233
Ethiopia,Pinniped,70458,16234
Missouri,Apristuru,67904,16235
Croatia,Whale_Sha,25549,16236
Louisiana,Lamna,11175,16237
Wyoming,Hyena,31694,16238
Massachus,Cirrhoscy,27310,16239
Texas,Dolphin,56357,16240
Massachus,Partridge,38435,16241
Uzbekista,Triakis,42400,16242
Rhode_Isl,Gerbil,34113,16243
Slovakia,Wren,38499,16244
TRINIDAD_,Ram,57145,16245
WESTERN_S,Angel_sha,93136,16246
Ukraine,Hemitriak,27653,16247
New_Jerse,Skunk,13262,16248
Lithuania,Raven,63201,16249
