Mississip,Alligator,5952,6001
Nauru,Orectolob,79611,6002
Turkey,Sphyrna_l,81787,6003
Monaco,Mule,1511,6004
Minnesota,Skunk,16183,6005
Malaysia,Fox,89881,6006
NEW_ZEALA,Cheetah,17664,6007
Hawaii,Reindeer,54782,6008
Texas,Lamna,75138,6009
Grenada,Magpie,27024,6010
Ireland,Gorilla,19895,6011
New_Jerse,Hamster,17625,6012
Georgia,Chiloscyl,22396,6013
Namibia,Moose,88329,6014
Arizona,Wombat,57698,6015
CZECH_REP,Gazelle,6839,6016
Illinois,Coyote,20663,6017
Serbia,Lion,6024,6018
NEW_ZEALA,Angel_sha,9009,6019
Luxembour,Ram,83288,6020
Slovakia,Camel,76112,6021
MARSHALL_,Mule,5912,6022
Maryland,Orectolob,68687,6023
North_Car,Pygmy_Sha,56171,6024
Sudan,Gorilla,61287,6025
Thailand,Prionace,82356,6026
Taiwan,Columbida,23907,6027
Canada,Squalifor,36634,6028
Madagasca,Beaver,79761,6029
CZECH_REP,Quail,45223,6030
Monaco,Jaguar,14443,6031
COSTA_RIC,Hamster,64806,6032
Florida,Black_pan,73951,6033
Arizona,Pelican,79267,6034
Serbia,Gorilla,81918,6035
Washingto,Pygmy_Sha,5639,6036
Maryland,Partridge,9096,6037
Wisconsin,Sawshark,78659,6038
Serbia,Louse,15382,6039
Nebraska,Jackal,48170,6040
Sudan,Reindeer,95579,6041
Pennsylva,Rhinocero,38778,6042
Canada,Isogompho,53587,6043
Nigeria,Giant_Pan,15027,6044
Latvia,Pony,61610,6045
Nepal,Giant_Pan,7426,6046
Luxembour,Scoliodon,22912,6047
Michigan,Triakis,72186,6048
Canada,Mouse,53053,6049
Uzbekista,Giant_Pan,37184,6050
North_Car,Sheep,32310,6051
Uzbekista,Lamniform,54747,6052
Jordan,Swallow,92084,6053
Serbia,Pony,94067,6054
Singapore,Quail,57305,6055
Missouri,Polecat,18765,6056
Nebraska,American_,69248,6057
New_Mexic,Fox,46624,6058
Tuvalu,Lamniform,52436,6059
Virginia,Mule,45866,6060
Nebraska,Angel_sha,27943,6061
Kiribati,Anatidae,13150,6062
New_Jerse,Dogfish,97713,6063
Michigan,Otter,81832,6064
Tanzania,Swan,3129,6065
Finland,Polecat,20397,6066
Lithuania,Hawk,93343,6067
Ghana,Prionace,61845,6068
Alabama,Quail,52713,6069
COSTA_RIC,Scoliodon,56967,6070
Latvia,Orectolob,94006,6071
Finland,Mouse,90762,6072
Georgia,American_,88646,6073
Netherlan,Cobra,35686,6074
Colombia,Crow,90416,6075
Romania,Pony,22416,6076
Jordan,American_,37800,6077
Pennsylva,Bison,78611,6078
Uruguay,Scoliodon,27295,6079
Mozambiqu,Hawk,12046,6080
NEW_ZEALA,Swan,21895,6081
Denmark,Alligator,23985,6082
Dominica,Isurus,42481,6083
DOMINICAN,Heron,24920,6084
Latvia,Partridge,29902,6085
Nepal,Pygmy_Sha,30980,6086
NEW_ZEALA,Rhizoprio,3876,6087
Slovenia,Coyote,65665,6088
Turkey,Sphyrna_l,79595,6089
Singapore,Mouse,51748,6090
Taiwan,Otter,15847,6091
Washingto,Pony,70819,6092
Thailand,Isurus,95290,6093
Minnesota,Anatidae,3767,6094
Tunisia,Jaguar,36537,6095
Washingto,Goldfinch,25428,6096
South_Car,Isurus,48877,6097
Tanzania,Louse,16170,6098
Netherlan,Prionace,96717,6099
Tuvalu,Parascyll,10737,6100
Finland,Guanaco,90706,6101
Wisconsin,Giraffe,53063,6102
EL_SALVAD,Guanaco,78917,6103
Morocco,Louse,9790,6104
Maine,Carcharhi,4605,6105
Sudan,Carcharhi,59694,6106
Minnesota,Giant_Pan,166,6107
Uruguay,Manatee,32562,6108
Jordan,Carcharhi,85495,6109
Malawi,Guanaco,91802,6110
Alabama,Swan,18962,6111
Ukraine,Skunk,44457,6112
Oregon,Jaguar,54075,6113
Wyoming,Coyote,78071,6114
Saudi_Ara,Baboon,51755,6115
Hawaii,Beaver,24635,6116
Ghana,American_,64142,6117
MARSHALL_,Manatee,49623,6118
Cyprus,Swan,94741,6119
Switzerla,Chamois,83602,6120
Virginia,Quail,1527,6121
Virginia,Rhizoprio,90650,6122
Maine,Snipe,2998,6123
Maine,Polecat,61447,6124
Slovenia,Cheetah,19784,6125
Grenada,Columbida,33615,6126
Ecuador,Bison,74475,6127
Florida,Alligator,20323,6128
Tunisia,Isurus,55846,6129
Georgia,Pony,87904,6130
Finland,Cheetah,94772,6131
Virginia,Dolphin,6053,6132
Rhode_Isl,Giant_Pan,33763,6133
Tunisia,Raven,3610,6134
Washingto,Magpie,44824,6135
Zimbabwe,Jackal,21256,6136
Ghana,Poroderma,41513,6137
Uzbekista,Jaguar,72529,6138
Maine,Hamster,96775,6139
Sudan,Swallow,83037,6140
WESTERN_S,Triaenodo,31852,6141
Louisiana,Hemiscyll,24751,6142
